GeneASymbol	GeneBSymbol
BCL2L11	MAPK1
EREG	TIPARP
BCL2	BIRC2
BIRC2	FGF2
BIRC2	BIRC3
BIRC3	FGF2
BCL2	EIF4E
BIRC2	EIF4E
BIRC3	EIF4E
BCL2	FGF2
BIRC2	MYC
BIRC3	MYC
FGF2	MYC
BRCA1	NR4A1
BRCA1	SLX4
NR4A1	SLX4
BRAF	CASP3
CDK1	CDK9
CDK2	CDK9
DNAJB1	EGR2
DNAJB1	PRKDC
EGR2	PRKDC
AKT1	ERBB2
ERBB2	FASN
DNAJB1	HSPA4
EGR2	HSPA4
DNAJB1	JUN
EGR2	JUN
HSPA4	JUN
JUN	PRKDC
AKT1	MAD2L1
BRCA1	MYC
BRCA2	MYC
HK1	MYC
MYC	XRCC6
DNAJB1	NR1D1
EGR2	NR1D1
HSPA4	NR1D1
JUN	NR1D1
NR1D1	PRKDC
H2AFX	PARP1
KRAS	PARP1
ASPSCR1	PSMA4
ASPSCR1	PSMC2
PSMA4	PSMC2
RAD50	XRCC6
H2AFX	RAD51
PRKDC	RAD51
RAD51	TIPARP
RAD51	XRCC6
BRCA1	RAD51B
BRCA2	RAD51B
PRKDC	RAD51B
RAD50	RAD51B
RAD51	RAD51B
RAD51B	XRCC6
BRCA1	RAD51C
BRCA2	RAD51C
PRKDC	RAD51C
RAD50	RAD51C
RAD51	RAD51C
RAD51B	RAD51C
RAD51C	XRCC6
LDHA	SIRT1
PSMA4	SMARCB1
PSMC2	SMARCB1
H2AFX	TIPARP
CCDC94	TP53
CDC25A	TP53
CDK1	TP53
CDK9	TP53
ERBB2	TP53
FASN	TP53
PRPF19	TP53
SIRT1	TP53
SCD	TPX2
BRCA2	XRCC2
PRKDC	XRCC2
RAD50	XRCC2
RAD51B	XRCC2
RAD51C	XRCC2
XRCC2	XRCC6
BRCA1	XRCC4
BRCA2	XRCC4
PRKDC	XRCC4
RAD50	XRCC4
RAD51	XRCC4
RAD51B	XRCC4
XRCC2	XRCC4
XRCC4	XRCC6
BRCA2	XRCC6
PRKDC	XRCC6
PARG	PARP1
ATRX	FANCM
AKT1	CASP8
CASP8	CDH1
CASP8	FADD
CASP8	MAPK1
CASP8	RNF34
CDC20	RNF34
BRCA1	CDC25C
CDC20	CDH1
CDH1	RNF34
AKT1	CFLAR
CFLAR	FADD
CFLAR	MAPK1
CFLAR	TNFRSF10B
BRCA2	CHEK2
ALK	DDR2
DDR2	SMARCA2
DDR2	SMARCA4
BRCA1	E2F1
CDC25C	E2F1
CHEK2	E2F1
E2F2	PDC
DDR2	EGFR
EGFR	SMARCA2
EGFR	SMARCA4
AKT1	FADD
FADD	MAPK1
FADD	TNFRSF10B
BBS9	FEN1
FBXO18	FEN1
FEN1	RAD51
DDR2	FGFR1
FGFR1	SMARCA2
FGFR1	SMARCA4
HINFP	HJURP
CEBPD	IL6
MAPK1	TNFRSF10B
MCM5	PIK3CA
BRCA1	MDM4
CDC25C	MDM4
CHEK2	MDM4
E2F1	MDM4
ERBB2	MEMO1
FANCM	MUS81
IL6	MYC
BBS9	PAM16
FEN1	PAM16
PAM16	SMPD2
E2F1	PDC
ERBB2	PLCG1
MEMO1	PLCG1
BRCA1	PML
CDC25C	PML
CHEK2	PML
E2F1	PML
MDM4	PML
BRCA1	PPP2R4
CDC25C	PPP2R4
CHEK2	PPP2R4
E2F1	PPP2R4
MDM4	PPP2R4
PML	PPP2R4
FANCM	RAD17
MUS81	RAD17
PARP1	RAD50
FANCM	RAD51
MRE11A	RAD51
MUS81	RAD51
NLRP2	RAD51
RAD17	RAD51
FANCM	RAD52
MUS81	RAD52
RAD17	RAD52
RAD51	RAD52
ATRX	RAD9A
FANCM	RAD9A
MUS81	RAD9A
RAD17	RAD9A
RAD52	RAD9A
ALK	SMARCA2
ALK	SMARCA4
ATAD5	SMC1A
RFC5	SMC1A
ATAD5	SMC3
RFC5	SMC3
SMC1A	SMC3
BBS9	SMPD2
AKT1	TNFRSF10B
CDC25C	TP53
E2F3	TP53
PML	TP53
PPP2R4	TP53
AR	CASP3
CASP3	JUN
CASP3	MAPK1
CASP3	MAPK8
CASP3	VAV1
CASP3	VAV3
AR	CASP9
CASP9	JUN
CASP9	MAPK1
CASP9	MAPK8
CASP9	VAV1
CASP9	VAV3
AKT1	JUN
AR	JUN
JUN	MAPK1
JUN	VAV1
JUN	VAV3
MAPK1	MAPK8
AKT1	VAV1
MAPK1	VAV1
MAPK8	VAV1
AKT1	VAV3
MAPK1	VAV3
MAPK8	VAV3
VAV1	VAV3
RB1	SCPEP1
SCPEP1	TP53
CTNNBIP1	MYC
APC	NFKB1
APC	PTGS2
APC	BAX
BAX	MYC
BAX	NFKB1
BAX	PTGS2
MYC	PTGS2
MYC	NFKB1
NFKB1	PTGS2
APC	TP53
NFKB1	TP53
PTGS2	TP53
DAPK1	NUP62
NUP62	PARP1
DAPK1	PARP1
HNF4A	MAP3K19
MYC	NAMPT
NAMPT	TP53
RAF1	ZHX2
JUN	MYC
MAPK8	MYC
BAX	TP53
MLH1	TIPARP
CHEK1	TOP1
MLH1	TOP1
PARP1	TOP1
TIPARP	TOP1
TOP1	TP53
NONO	PTEN
PTEN	TP53
MAPK1	MARK2
E2F1	PARP1
AKT1	ATG5
AKT1	BECN1
ATG5	BECN1
ATG5	CASP3
BECN1	CASP3
CASP3	MAP1LC3A
AKT1	MAP1LC3A
ATG5	MAP1LC3A
BECN1	MAP1LC3A
ATG5	MTOR
BECN1	MTOR
MAP1LC3A	MTOR
CASP3	OLFM4
BCL2L11	JUN
JUN	SMAD3
BCL2L11	MAPK8
BCL2L11	PARP1
BCL2L11	SMAD3
MAPK8	SMAD3
PARP1	SMAD3
OLFM4	TNF
AK1	AKT2
AK1	AKT3
AKT2	AKT3
AK1	EGFR
AKT3	EGFR
EGFR	RB1
GATA3	PRDX2
BAK1	CDK6
BCL2	CDK6
BAK1	COPS5
BCL2	COPS5
CDK6	COPS5
BAK1	ITGB1
BCL2	ITGB1
CDK6	ITGB1
COPS5	ITGB1
BAK1	MYC
CDK6	MYC
COPS5	MYC
BAK1	PSMD9
CDK6	PSMD9
COPS5	PSMD9
ITGB1	PSMD9
PSMD9	SKP2
BAK1	SKP2
BCL2	SKP2
CDK6	SKP2
COPS5	SKP2
ITGB1	SKP2
MYC	SKP2
BAK1	TP53
CDK6	TP53
COPS5	TP53
ITGB1	TP53
SKP2	TP53
CASP3	EGR1
CASP3	GDF15
CASP3	IAPP
CASP8	CITED2
CASP8	HCCS
BCL2L1	EGR1
BCL2L1	GDF15
GDF15	IAPP
CITED2	HCCS
EGR1	IAPP
CASP8	NME1
CITED2	NME1
HCCS	NME1
CASP3	PIK3CA
CASP3	PPARA
CASP8	PPARA
CITED2	PPARA
HCCS	PPARA
NME1	PPARA
PARP1	PPARA
PIK3CA	PPARA
CASP8	TNF
CITED2	TNF
HCCS	TNF
NME1	TNF
PPARA	TNF
BCL2L1	TP53
EGR1	TP53
GDF15	TP53
IAPP	TP53
CTGF	STK3
CHEK2	PARP1
BRCA2	TP53BP1
BRCA1	USP11
BRCA2	USP11
PARP1	USP11
RAD51	USP11
TP53BP1	USP11
BRCA1	RAD50
BRCA2	RAD50
PRKDC	RAD50
ARF6	PARP1
MAPKAPK2	MRE11A
MAPKAPK2	NLRP2
MAPKAPK2	PARP1
MRE11A	PARP1
MAPKAPK2	TDG
MRE11A	TDG
NLRP2	TDG
PARP1	TDG
MAPKAPK2	XPA
MRE11A	XPA
NLRP2	XPA
PARP1	XPA
TDG	XPA
MRE11A	NLRP2
DIRC2	VHL
METAP1	METAP2
DYRK2	HIPK2
DYRK2	MDM2
HIPK2	MDM2
DYRK2	MDM4
HIPK2	MDM4
MDM2	MDM4
DYRK2	TP53
HIPK2	TP53
MDM4	TP53
ARHGAP1	EGFR
BAX	CDK4
BCL2	CDK4
ARHGAP1	CNTNAP1
CNTNAP1	EGFR
CASP3	PML
CYCS	PARP1
CYCS	PML
PARP1	PML
CASP3	KRAS
CASP8	KRAS
ATR	MYC
CHEK2	MYC
CHEK1	PIK3CA
CHEK2	PIK3CA
EGFR	HRAS
EGFR	KIT
KIT	MYC
EGFR	MYC
HRAS	MYC
HRAS	TP53
KIT	TP53
CASP3	EZH2
CASP3	RPS6KB1
EZH2	MTOR
EZH2	RPS6KB1
EZH2	TP53
MTOR	RPS6KB1
BRAF	PLA2G1B
PLA2G1B	ZHX2
BRAF	ZHX2
BCL2L11	BRAF
BCL2	BMF
BMF	BRAF
BCL2	NRAS
BCL2L11	NRAS
BMF	NRAS
NRAS	STARD13
BCL2	STARD13
BCL2L11	STARD13
BMF	STARD13
BRAF	STARD13
NF2	YAP1
AKT1	BRAF
AKT1	FLI1
BRAF	FLI1
AKT1	SPINT2
BRAF	SPINT2
AKT1	SSX1
BRAF	SSX1
FLI1	SSX1
SPINT2	SSX1
AKT1	SUMO1
BRAF	SUMO1
SSX1	SUMO1
FOS	SET
MAPK1	SET
RAD51	STAT3
MYCN	TP53
PARP1	PCSK9
CASP3	RB1
CASP3	TWSG1
BAX	CASP9
CASP9	RB1
CASP9	TWSG1
CDC25A	CDC25C
CDC25A	CHEK1
CDC25C	CHEK1
CDC25A	CHEK2
BAX	CYCS
CASP9	CYCS
CYCS	RB1
CYCS	TWSG1
JUN	RBM45
JUN	SMAD6
CDC25A	NPRL2
CDC25C	NPRL2
CHEK1	NPRL2
CHEK2	NPRL2
KIAA1524	PARP1
AKT1	PPP2R4
EGFR	PPP2R4
KIAA1524	PPP2R4
PARP1	PPP2R4
BAX	RB1
RBM45	SMAD6
BAX	TWSG1
RB1	TWSG1
AKT1	PRKDC
PRKDC	SERPINF2
AKT1	SERPINF2
BAK1	BRCA1
BAX	BRCA1
BCL2	BRCA1
BAK1	PARP1
BAX	PARP1
CDK2	KRAS
CDK6	KRAS
BAK1	BCL2
CASP9	TP53
CHUK	MAP3K11
MAP3K11	NFKBIA
CHUK	NFKB1
NFKB1	NFKBIA
CHUK	PARP1
NFKB1	PARP1
NFKBIA	PARP1
IKBKE	TNF
CCNE1	TP53
AKT1	BCL2
BCL2	CUX1
EGF	EGFR
ADM	MDM2
ADM	MMP28
MDM2	MMP28
BCL2	PIK3CA
CUX1	PIK3CA
ADM	TIPARP
MDM2	TIPARP
MMP28	TIPARP
ADIPOQ	FOS
AKT1	BTG2
BTG2	MSMP
DAB2IP	MAP1LC3B
AKT1	MSMP
DAB2IP	MTOR
MAP1LC3B	MTOR
BTG2	PIK3CA
MSMP	PIK3CA
DAB2IP	RPS6KB1
MAP1LC3B	RPS6KB1
PRDX1	PRX
PRDX1	PRDX2
PRDX2	PRX
PRDX1	RAD51
PRDX2	RAD51
PRX	RAD51
SLC2A1	VHL
RB1	TSC2
AKT1	BAX
AKT1	BCL2L1
BAX	BCL2L1
AKT1	BCL2L11
BCL2L1	BCL2L11
BCL2L1	MAPK1
AKT1	MCL1
BAX	MCL1
BCL2L1	MCL1
MAPK1	MCL1
AKT1	XIAP
BAX	XIAP
BCL2L11	XIAP
MAPK1	XIAP
KDR	WEE1
PDGFRB	WEE1
CASP3	CD34
BAX	CD34
BCL2	CD34
BAX	CDKN1A
CASP3	CDKN1A
CD34	CDKN1A
CDKN1A	TIMM8A
BAX	PSMD9
CASP3	PSMD9
CD34	PSMD9
PSMD9	TIMM8A
BAX	TIMM8A
BCL2	TIMM8A
CASP3	TIMM8A
CD34	TIMM8A
BCL2	TP53
CD34	TP53
BCL2	CASP3
BCL2	CDKN1A
CDKN1A	PSMD9
BCL2	PSMD9
BAX	CASP3
CHEK1	NF1
MDM2	PLK1
MDM2	PLK4
PLK1	PLK4
BRAF	MCL1
BCL2	TPCN1
BRAF	TPCN1
MCL1	TPCN1
ATP7A	CHEK2
CDC45	GINS1
CDC45	GINS3
GINS1	GINS3
GINS3	TAP2
CDC45	GINS4
GINS3	GINS4
GINS4	TAP2
CHEK2	KAT8
CDC45	TAP2
GINS1	TAP2
BRCA1	NLRP2
BRCA2	NLRP2
ATM	PTEN
BRCA1	PTEN
BRCA2	PTEN
NLRP2	PTEN
ATM	CDK1
ATR	CDK1
BRCA2	CDK1
CDK1	CHEK1
ATM	XRCC3
ATR	XRCC3
BRCA2	XRCC3
CDK1	XRCC3
CHEK1	XRCC3
ACIN1	AZI1
ACTN1	ZYX
ARMC6	PRPF19
ATAD5	MCM2
ADAM9	BAG3
BAG3	S100A11
ARHGEF16	BAIAP2L1
BRD2	BRPF1
C11orf58	MAT2A
C17orf70	ZBTB17
C4orf21	MCM2
CARM1	GGA3
CDC25A	PTMA
CDC7	POLD3
CDC7	RFC2
CDS1	STYK1
CENPM	PCNA
ANAPC5	CHAF1A
CHMP1A	CORO1B
COL4A2	KIRREL
COPS5	RAB1A
CTDSPL2	MCM2
CCT2	CWF19L1
CXorf21	SNRPA
DAZAP1	LBR
DAZAP1	RMND5A
DCAF15	POLR1B
DDX49	U2AF2
ANAPC2	DGCR8
DIP2A	MAP3K3
DIP2A	ZNF771
DLGAP5	MYBL2
DNA2	ILF3
CLPTM1	DOLK
DOT1L	RBM14
DTL	POLD3
COPS7B	ELAVL1
EPHA2	TUFT1
EWSR1	PASK
BRCA1	FANCA
CDC7	FANCA
FBXO31	ZNF574
FUT3	OVOL1
GAS2L1	TNFRSF1A
ABHD11	GRB7
GJB3	GRB7
FUS	HMGB2
HNRNPD	NRF1
HNRNPD	TOPBP1
IRF7	IRF9
ISG15	OASL
KIAA0101	SNRPD1
GINS1	KIF11
EDN1	KLF5
KRI1	RBM14
LBR	TCERG1
HNRNPR	MCM3
CPSF6	MDC1
EXOC5	ME2
ME2	NONO
DNAJA2	MRPS15
CCNC	NAA15
EEF1E1	NAA15
NAT10	RPIA
NCAPH2	ZNF335
NCR1	PRKACG
CKAP5	NRF1
PIAS4	POLR1B
MYH6	PILRA
POLE2	RFC2
OR10J1	PURG
ASAP1	RAB1A
MTFR1	RAB1A
EDC4	RBM10
HNRNPR	SAMD1
KIAA1217	SDC1
LILRB3	SFTPC
BRF1	SLC19A1
LMNB1	SMC1A
ANP32E	SPAG5
NASP	SPAG5
KHSRP	SRRM1
PKMYT1	SRRM1
SUPT5H	USP20
MYBL2	TACC3
MEN1	TBC1D10B
ARHGEF16	TMEM184A
STK10	TNFAIP3
KRT80	TSPAN1
ATP6V0A2	ZBED4
ACTN4	KDELR3
CARM1	FBXO46
ELMO3	SFN
ACIN1	UBE2O
ALDH18A1	MTFR1
ANKRD22	SLC37A1
ARSB	LEPRE1
ATAD5	CENPF
BMP1	SERPINH1
BRCA2	DLGAP5
BRD4	TNK2
BRIP1	PSMC3
BRPF1	KDM2B
BUB1B	MDC1
C17orf62	GMIP
C17orf70	TBC1D10B
CCBE1	SERPINE1
CCNA2	MYBL2
CDC5L	PSMC3
CDC6	CHAF1A
CDK1	MAD2L1
CENPH	NUF2
CHAC1	YARS
CKAP2	DLGAP5
CLSPN	SMC2
CORO2A	F11R
CSK	MAST3
CTSB	S100A11
DCTN1	DIP2A
DNA2	ZNF107
DNMT1	SMARCB1
EXOSC2	HNRNPA3
EXOSC9	NCAPG2
EXOSC9	RFC4
EXOSC9	TOPBP1
C1orf106	F2RL1
FBXO5	KIF2A
GART	PSMC3
GIPC1	LAMA5
CCNB1	GMNN
HELLS	RFC2
HMMR	PCNA
HMGB2	HNRNPA2B1
IARS	YARS
ILKAP	SF1
KIF11	PCNA
KIF18A	MSH2
GINS1	KIF23
GPRC5A	KLF5
KRI1	NOP56
LMNB1	MYBL2
LSM7	SKP2
GALE	LTBR
MAP1S	NCOR2
MCM3	NUDT21
MCM5	RFC2
MRPL37	MRPL38
CCT2	NAA15
NDC80	POLE2
MCM2	NFATC3
CIRH1A	NOP56
FUS	NUP188
PCNA	ZWINT
PHB2	SNRPA
PSMC3	TSN
PSMC3	YAF2
PTK2	RAB1A
MED12	RBM10
RBM10	UBE2O
RFC3	USP39
HNRNPA2B1	RFC5
SF3A2	TNK2
LLGL2	SFN
SLBP	ZWINT
SLC35A2	TMED9
DHFR	SMC2
RPIA	SRPK1
SQSTM1	SRXN1
SLC39A7	SURF4
PDE4C	TAOK1
PPP1R10	TAOK2
HNRNPA3	TCERG1
SIGLEC1	TCL1A
ELF3	TLCD1
TMEM51	TNFRSF21
ANP32E	TOP2A
CLCN7	TRMT61A
GINS1	TUBA1B
EZH2	WHSC1
CREB1	YWHAZ
KIF1A	ZNF711
CEACAM6	ST14
CNOT3	DDX6
MRPS15	VDAC1
CSNK1G2	POLD1
DHX9	PLK4
KHSRP	TXLNA
ACTN4	ANXA2
ATG2A	SOLH
AIFM1	ATP5B
BCL9L	S100A11
C17orf70	ZNF335
CCNT1	CNOT3
CDC25A	RMND5A
CDC42BPB	GIPC1
CDC45	HIRIP3
CDC45	MYBL2
CDS1	GPRC5A
CDS1	PTK6
CEP152	ZNF669
CDC7	CPSF6
CPSF6	FUS
DSG2	KRT80
BYSL	DUS3L
AZI1	EHMT2
ENO1	YAF2
EXOSC9	SMC2
FBXO5	TUBA1A
H2AFX	POLE
HSP90AB1	PTPLAD1
KIAA0101	PPIH
E2F1	KIF20B
KIF2C	MYBL2
KIF15	LOC81691
MAP1S	SMARCC2
MLF1IP	MTF2
ADRBK1	NBEAL2
MYBL2	NCAPG
NCBP1	RBM14
NEIL3	POLE2
FUS	NOP56
PBK	POLE2
ACTB	PFN1
LILRB3	PNLIPRP1
PSMC3	RAB1A
CCNF	PSRC1
PTBP1	RBM14
CTCF	RCC2
RIPK4	SSH3
CAD	SF3A2
SURF4	TMEM214
RBM14	TCF3
ARHGEF1	TLN1
UBA1	VPS4A
E2F2	ZNF273
PPAN	RCC1
CENPM	TRAIP
GPR56	TSPAN1
ARHGAP11A	SMC4
ARID1A	TROAP
BAIAP2L1	RIPK4
BRCA2	STIL
BRD4	CCNT1
BUB1B	CKAP5
BYSL	CCT2
CDC25A	LBR
CDC25A	MSH6
CDC7	TOPBP1
CDT1	EXOSC5
CEP152	R3HDM1
CHAF1A	POLE2
CHAF1A	RBM14
CHAF1B	WDHD1
DNA2	PCNA
EXOSC9	RAD51AP1
GRWD1	RBM14
ALDOB	KCNJ5
KIF18A	ZWILCH
CIT	KIFC1
LIG1	RBM14
MAD2L1	UBE2T
ATAD5	MND1
MRPL12	WDR77
MRPL2	USP36
MLLT6	NBEAL2
CCNF	NCAPD3
NDC80	RFC5
LIG1	NOL12
NCAPH	NUSAP1
PACS2	STRN4
MCM2	PAICS
CENPA	PCNA
FANCA	PCNT
PES1	SNAPC4
LBR	PLK4
CDC25C	POLE2
PIAS4	PPRC1
HRSP12	PSMD12
PSMC3	RFC3
RBM14	SGTA
PLEC	SH3GL1
MCM7	STMN1
MCM2	THOP1
LAD1	TMPRSS4
MCM2	WDR76
PSMC3	ZNF207
ENO1	HRSP12
CDCA3	WHSC1
ACD	SNRPA
ACTN1	S100A11
ATAD5	RAD54L
BLM	CCDC138
BUB1B	CENPI
ACTN4	C15orf52
C1orf112	CDC25C
CCNF	CDC7
CDCA2	SPAG5
CDK1	SNRPA1
CEP152	DTL
CHAF1A	CPSF6
DCAF15	GRK6
EIF2AK2	OAS3
CPSF6	EXOSC2
CCNF	H2AFX
HNRNPD	TOP2A
KIAA0101	PCNA
BRCA1	KIF15
KIF20A	UBE2S
MAP1S	MAP3K11
MKI67	PCNA
MRPS12	MRPS7
COL4A2	P4HA2
PBK	RFC4
PBK	TYMS
PKMYT1	SIVA1
PLK4	RIF1
MXD3	RBM10
DDX11	RBM15
LBR	RBM15
MCM6	RMI1
BRCA1	RNASEH2A
RNASEH2A	TUBA1A
RRM1	TOPBP1
CDS1	SDC1
ERLIN1	STIP1
NUDT1	STMN1
CKS1B	TMEM194A
KRT7	WNT7B
DCK	ZWINT
CDC25A	DHFR
CWF19L1	POLR2D
CNOT3	SMARCB1
POLD1	SF3A2
POLD1	THOP1
CCNF	TRMU
MCM6	WDHD1
BUB1B	DSCC1
CCNF	EHMT2
CDC45	UNG
CDC7	RAD51AP1
CEP152	TOPBP1
DDX6	SMG7
DONSON	RFC4
E2F1	E2F2
GTSE1	MYBL2
H2AFX	TIMELESS
H2AFZ	UBE2T
HELLS	TOPBP1
HMGB2	TIMELESS
DLGAP5	HNRNPA2B1
KIF11	POLE2
CKS1B	KIF15
KNTC1	LIG1
LMNB2	POLE
LMNB2	RBM14
MAP1S	NOC4L
CDC7	MLF1IP
NCAPG	NCAPH
BARD1	NDC80
NEIL3	RAD51AP1
PDSS1	SRRT
POLD1	RBM14
MCM6	POLE2
PRIM1	STIL
CPSF6	PTBP1
PUS1	REXO4
MCM2	RFC3
ENO1	RRM1
MXD3	SRRT
SNX13	STIP1
TUBA1B	TUBB
DONSON	ZWILCH
CCNF	SMARCB1
KHSRP	TOE1
ASF1B	BRCA1
BARD1	SNRPA
BRCA1	FEN1
CDC6	CDCA8
CDC6	KIF2C
CDC6	STIL
CENPM	NUP188
CEP152	RBM15
CHAF1A	RAD51AP1
CHAF1B	SMC2
CHEK1	KNTC1
CHEK1	TMEM194A
DDX11	RECQL4
FANCI	LIG1
FANCI	TOPBP1
KIF11	SMC2
MCM3	USP39
ANP32E	MND1
MND1	NCAPH
NCAPG	POLE2
NCAPG2	PLK4
PPRC1	SNAPC4
LMNB1	RAD51AP1
RAD54L	XRCC3
ESRRA	RDH13
CCNF	RRM2
MCM2	SNRPA
SNAPC4	SUPT5H
HMGB2	TTK
TRAIP	TROAP
ARFGAP1	UBR4
CDC25A	CPSF6
CDT1	CNOT3
CENPJ	POLQ
CHAF1B	SMC4
CHEK1	SMC2
DAZAP1	PDSS1
DCK	ESPL1
DIP2A	SNAPC4
DLGAP5	NUDT1
E2F8	FANCD2
H2AFZ	RAD51AP1
HMGB2	SKP2
KIAA0101	POLE2
KIF11	RFC4
KLHL8	LIN9
KNTC1	NUP153
CTCF	MCM10
NCAPD2	RAD51
NCAPG	RFC2
NEIL3	RRM2
ECT2	PBK
CKS1B	PLK4
SAFB	SKP2
DRAP1	SH3BGRL3
STIP1	STRAP
GINS2	STMN1
STMN1	TIMELESS
RAD51	SUV39H2
BARD1	TYMS
KRT80	WNT7B
DNMT1	STIL
ABCB1	ABCB4
ABCB8	FASTK
ABCC3	GPRC5C
ABCC3	ITGB4
ABCF1	MDC1
ABCF3	NRBP1
ABHD13	CUL4A
ABI1	MLLT10
ABLIM3	P4HA2
ABO	ORM1
ABT1	MAPK14
ACADVL	MINK1
ACIN1	BRF1
ACP1	B3GNT2
ACP1	PIGF
ACTN4	ETHE1
ACTN4	NCEH1
ACTR3C	CLDN4
ACYP1	UBR7
ADAM9	ATP6V1C1
ADAM9	CTSA
ADAP1	KLF5
ADAR	TARS2
ADAT3	RNF126
ADNP	CCNT2
ADRA1D	FKBP8
ASDL	DRG1
ADSS	IARS2
AFF4	TMED2
AGGF1	TAF9
AGPAT5	KIAA1967
AGR2	CLDN4
AGRN	GJB3
AHR	MET
AIF1	FGD2
AIF1	GUCA1A
AIF1	HLA-DOA
AIMP1	RAP1GDS1
AIMP1	SRP72
AIMP2	MRPS17
AK1	NCS1
AKAP11	FAM48A
AKAP8	ELL
AKAP8	GTPBP3
AKAP8	RAB8A
AKAP8L	UPF1
AKAP9	PEX1
AKT1S1	AP2S1
AKTIP	ITFG1
ALKBH4	TRRAP
AMDHD2	MPG
AMDHD2	STUB1
AMDHD2	TMEM8A
AMIGO2	EGFR
AMOTL2	B4GALT4
AMOTL2	OSMR
AMOTL2	TM4SF1
AMZ2	KLHL12
ANAPC11	STRA13
ANAPC2	GTF3C5
ANAPC2	MRPS2
ANAPC7	TMPO
ANGEL2	ARID4B
ANKFY1	RPS6KB1
ANKRD16	NUDT5
ANKRD16	SUV39H2
ANLN	MET
ANO1	CAPN1
ANO1	S100A14
ANP32A	CLPX
ANP32A	PIAS1
ANP32B	C9orf80
ANP32B	POLE3
ANP32B	STRBP
ANP32E	LIN9
ALDH1A3	ANXA2
ANXA9	ELF3
ANXA9	EVPL
ANXA9	PRSS22
AP1M1	PIN1
AP2A1	NUCB1
AP2M1	CYB5R3
AP3B1	GDE1
AP3B1	GIN1
AP3B1	SNX2
AP3B1	TAF9
AP3M2	POLB
API5	CAPRIN1
APPL2	SCYL2
APTX	NDUFB6
ADIPOR1	ARF1
ARF1	MRPL13
ARF1	YWHAZ
ARF4	RPP14
ARFGAP2	SF1
ARFGEF1	ARPC5
ARFGEF1	AZIN1
ARFGEF1	MAPRE1
ARFGEF1	NCOA2
ARFGEF1	PSMD12
ARFGEF1	TCEB1
ARGLU1	PDS5B
ARHGAP29	EGFR
ARHGAP29	F3
ARHGAP33	LIG1
ARHGEF5	TMEM139
ARID1A	HNRNPR
ARID1A	NASP
ARID1B	BCLAF1
ARID1B	FBXO5
ARID2	ZBTB39
ARIH2	PDE12
ARL1	GDE1
ACTR1A	ARL3
ARL6IP4	OGFOD2
ARL8B	EDEM1
ARMC1	MAPRE1
ARMC1	YWHAZ
ARMC10	DUS4L
ARMC6	ATP13A1
ARMC6	FARSA
ARMC6	RAVER1
ARMC8	SNX4
ARRB2	GSG2
ARRDC1	BSPRY
ARPC5	ASAP1
ASAP1	CLTC
ASAP1	HRSP12
ASAP1	MRPS28
ASAP1	PEX2
ASAP1	PRKAR1A
ASAP1	TCEB1
ASF1A	KATNA1
ASF1A	PCMT1
ASF1B	RAVER1
ASPH	PLEC
ASPH	S100A2
ASPM	NEK2
ASPSCR1	MRPL38
ATAD2	CCNE2
ATAD2	CDC5L
ATAD2	KIF14
ATAD2	MAPRE1
ATAD2	MCM3
ATAD2	MCM4
ATAD2	PCNA
ATAD2	RFC4
ATAD2	TOP2A
ATAD2	TOPBP1
ATAD2	WDR67
ATE1	NSMCE4A
ATF6B	TAPBP
ATG2A	MAP3K11
ATG2A	PEX16
ATG3	IL20RB
ATG4C	PRPF38A
ATMIN	MBTPS1
ATP1B1	ELF3
ATP5A1	HDHD2
ATP5A1	TXNL1
ATP5C1	NUDT5
ATP5C1	SUV39H2
ATP5D	NCLN
ATP5D	RNF126
ATP5F1	MRPL37
ATP5L	SLC37A4
ATP5SL	BCKDHA
ATP6V0C	ATP6V0D1
ATP6V0E1	MGAT4B
ATP6V1C1	IARS2
ATRIP	PDE12
ATRN	POLR3F
ATXN2L	PRR14
ATXN2L	ZNF646
ATXN3	PRPF39
AURKA	ECT2
AVPI1	BAG3
AZI1	CUL9
AZI1	NUP85
AZI2	DYNC1LI1
AZIN1	HRSP12
AZIN1	TCEB1
B4GALNT3	DEFB118
B4GALT3	USP21
ASH2L	BAG4
BAZ1A	PRPF39
BCAR3	LEPROT
BCAS2	ILF2
AMDHD2	BCKDK
BCKDK	STUB1
BCKDK	VKORC1
BCL2L1	KRT8
ADAT2	BCLAF1
BDP1	CHD1
BIRC2	YAP1
AURKA	BIRC5
BIRC5	RRM2
BLVRB	LPP
BPTF	COIL
BPTF	MED13
BPTF	ZNF652
BRAP	MAPKAPK5
BRD2	EHMT2
BRD2	PBX2
BRD4	PRKCSH
BRD4	SIN3B
BRD7	RFWD3
BRF1	ENTPD5
BRF1	PPP1R10
BRF2	GOLGA7
BRIX1	RAD1
BRIX1	TRIP13
BRMS1	RAB1B
BRPF1	SGOL1
BSPRY	ENTPD2
BTBD2	DNM2
BTBD2	MBD3
BTF3	CHD1
BTF3	TAF9
BTG2	RGS16
BTN2A1	BTN2A2
BTN3A1	BTN3A2
BTN3A1	HLA-F
AQR	BUB1B
BUB1B	C15orf23
BUB3	KIF20B
BUB3	NSMCE4A
ATP5L	BUD13
BUD13	HINFP
BUD13	MLL
C10orf137	TAF5
C11orf2	MEN1
C11orf48	POLR2G
C11orf48	PRPF19
C11orf57	CUL5
C11orf68	CD59
C12orf29	CCDC59
C12orf47	MAPKAPK5
C12orf65	MPHOSPH9
